Address,Type,Datetime,Latitude,Longitude,Incident Number
3039 Nw 71st St,Aid Response,05/23/2019 11:58:00 AM,47.68023,-122.396216,F190052317
1000 4th Av S,Aid Response,05/23/2019 11:57:00 AM,47.594333,-122.329049,F190052318
420 4th Av,Aid Response,05/23/2019 11:56:00 AM,47.601986,-122.32914,F190052315
10330 Meridian Av N,Medic Response,05/23/2019 11:54:00 AM,47.703486,-122.33390700000001,F190052313
2622 California Av Sw,Medic Response,05/23/2019 11:47:00 AM,47.580771999999996,-122.386563,F190052311
8621 DELRIDGE WAY SW,Aid Response,05/23/2019 11:46:00 AM,47.526298,-122.36047099999999,F190052308
700 Fairview Av N,Auto Fire Alarm,05/23/2019 11:46:00 AM,47.625121,-122.33433600000001,F190052307
2301 Ne 65th St,Medic Response,05/23/2019 11:46:00 AM,47.675775,-122.30273100000001,F190052309
2012 Thorndyke Av W,Trans to AMR,05/23/2019 11:42:00 AM,47.63707,-122.38896000000001,F190052305
4108 W Bertona St,1RED 1 Unit,05/23/2019 11:41:00 AM,47.650449,-122.40964199999999,F190052304
206 3rd Av S,Medic Response,05/23/2019 11:37:00 AM,47.600825,-122.330272,F190052303
11540 Pinehurst Way Ne,Aid Response,05/23/2019 11:35:00 AM,47.712546,-122.314732,F190052300
6701 Earl Av Nw,Trans to AMR,05/23/2019 11:35:00 AM,47.677654,-122.391866,F190052301
1215 Thomas St,Aid Response,05/23/2019 11:32:00 AM,47.620815,-122.33258500000001,F190052299
Seneca St / 1st Av,Aid Response,05/23/2019 11:27:00 AM,47.606122,-122.337544,F190052298
W Dravus St / 3rd Av W,Aid Response,05/23/2019 11:21:00 AM,47.648663,-122.360887,F190052295
3920 Sw Holden St,Aid Response,05/23/2019 11:21:00 AM,47.533553999999995,-122.382236,F190052294
1700 17th Av,Aid Response,05/23/2019 11:19:00 AM,47.616443,-122.310151,F190052292
1717 N 85TH ST,Fire in Single Family Res,05/23/2019 11:19:00 AM,47.690509999999996,-122.33769099999999,F190052293
515 Madison St,Aid Response,05/23/2019 11:17:00 AM,47.606624,-122.33162800000001,F190052291
6727 Rainier Av S,Medic Response,05/23/2019 11:12:00 AM,47.542238,-122.27264199999999,F190052290
600 S Jackson St,Aid Response,05/23/2019 11:11:00 AM,47.599193,-122.326361,F190052289
1001 Alaskan Way,Trans to AMR,05/23/2019 10:56:00 AM,47.603781,-122.338424,F190052288
700 MINOR AV,Medic Response,05/23/2019 10:51:00 AM,47.607661,-122.322073,F190052287
2901 4th Av S,Aid Response,05/23/2019 10:50:00 AM,47.577719,-122.329058,F190052286
4293 Memorial Way Ne,Medic Response,05/23/2019 10:43:00 AM,47.659693,-122.30963200000001,F190052284
Woodland Park Av N / N 47th St,Medic Response,05/23/2019 10:42:00 AM,47.662879,-122.34456899999999,F190052282
5710 22nd Av Nw,Aid Response,05/23/2019 10:41:00 AM,47.67025,-122.384743,F190052281
1707 Sw Holly St,Automatic Fire Alarm Resd,05/23/2019 10:36:00 AM,47.542871000000005,-122.35613500000001,F190052278
